Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
LB0101ENv1,-0.26831746,0.18024242,-0.1900489,0.077286735,0.10021153,-0.016825093,0.25904918,0.04831111,-0.0006149798,-0.076457866,-0.03660646,-0.10221466,-0.14711225,0.08854616,0.1797556,-0.021922888
ML0103EN,0.1536717,0.17091493,-0.04053088,-0.028471492,-0.28230825,-0.15851289,0.015814032,0.11936856,0.043631375,0.088351555,0.11369745,-0.11252353,-0.12723479,-0.0233478,0.07616568,-0.13159168
CC0150EN,-0.25865337,0.15450507,0.14476392,-0.06769651,0.04551732,-0.08019228,-0.08619561,0.112036094,-0.067491084,0.0011749225,0.0842664,-0.06291287,0.1459682,-0.16851147,-0.07911996,-0.18266559
DS0110EN,0.042970974,0.1735148,-0.19772692,0.08858827,-0.19109538,-0.24470006,-0.04215356,0.12809007,0.2626913,-0.03430485,-0.011822618,0.09579524,0.13013925,-0.028742872,-0.09992023,0.10745268
DA0101EN,-0.17693737,-0.022206912,-0.25378275,-0.21698365,0.14733508,0.14531253,-0.076562345,0.0020493753,0.07524079,0.058211613,0.11299194,0.0051597855,0.0062877606,-0.05604865,0.039509974,-0.12678903
ML0122EN,-0.027400276,0.19354574,-0.14871974,-0.1492743,0.11531567,0.014106416,-0.0776115,0.022507172,-0.011624098,-0.1665455,-0.00813044,0.024071246,-0.22183079,-0.2328669,0.20750256,0.026430579
ML0115EN,-0.087407954,-0.0103334375,-0.21205088,0.073965535,0.1808379,-0.0056278147,0.03484576,-0.1411514,-0.052589614,-0.1703576,-0.20481372,-0.1362314,-0.29066968,0.0003883909,0.03304591,-0.10606348
ML0111EN,-0.06083921,-0.2219686,-0.16417183,-0.21902193,-0.10970261,-0.104826614,0.103791766,0.045036763,-0.16766958,0.094276756,-0.021915603,-0.069116876,0.04417925,0.034410395,-0.023455322,0.028820725
ML0109EN,0.2163473,0.05181066,-0.0033895012,0.016504701,0.02478569,0.08432505,0.2558705,-0.03648445,0.041644976,0.0582078,-0.022549769,0.17424789,0.026298625,0.2460221,0.12549369,-0.21594669
BD0223EN,0.11105462,0.0029819405,0.10280949,0.16811153,0.16697031,-0.051351037,0.15933862,0.21992578,0.2766934,-0.17277344,-0.07102654,-0.07306796,-0.051296268,-0.21200584,0.019948445,0.0021477384
BC0202EN,0.03967721,-0.09107713,0.060561456,0.07962656,0.0995841,-0.08546012,-0.16784608,-0.16599149,-0.03882098,-0.040601373,0.15640089,0.20436464,-0.055272132,-0.1285626,-0.09425854,-0.010922087
CC0103EN,0.015693184,0.025238167,0.051216435,0.09677262,0.1532796,0.11554453,-0.121451505,-0.057973146,0.19268237,0.19629844,-0.13821502,0.06510258,-0.041470457,-0.043756716,-0.073129974,-0.0462958
COM001EN,0.090727344,0.16046523,0.20120296,0.118906386,0.14521676,-0.14560759,0.24934441,0.048001535,0.13223167,-0.022884367,0.16216198,-0.02500855,-0.009553028,0.1406503,-0.19724531,0.070406064
DB0101EN,-0.014985181,-0.014796747,0.060784683,0.08244118,-0.24634978,-0.09557974,-0.1209032,-0.10231863,-0.06320762,0.017406646,0.2703994,-0.17493284,0.19395883,-0.2880165,-0.07903024,-0.12189634
CNSC02EN,-0.058410473,-0.055417836,0.23242244,-0.15206094,-0.020371662,-0.026216153,-0.026455473,-0.024105746,-0.04015653,-0.067182705,-0.17645232,0.2204455,-0.24460807,-0.026474256,-0.04304974,0.07807425
DV0151EN,-0.19115578,-0.028203426,0.023949865,0.10259308,-0.1291311,-0.07615568,0.15062277,0.030895485,0.060502566,0.11755965,-0.09529602,-0.02860152,-0.17604333,-0.012104536,0.07397686,0.123659216
RP0105EN,-0.02541326,-0.0002976096,0.16069606,0.08336704,-0.0083550215,0.10214149,0.15068081,0.2852582,-0.055678796,-0.14136147,-0.1036834,-0.042166743,0.07761151,0.056189917,0.0128662605,-0.09831104
LB0109ENv1,-0.038440395,0.035816908,-0.053304736,0.17791307,-0.07792568,-0.009278933,-0.02611059,0.06922002,0.10276205,-0.061844643,0.26476565,0.22873919,-0.14123651,-0.0959562,0.035001155,-0.20107944
